"thisdir"	"tf"	"DER"	"B3Precision"	"B3Recall"	"B3F1"	"TauRefSys"	"TauSysRef"	"CE"	"MI"	"NMI"
"../evaluations/ASE+"	"diartk_opensmile"	149.61	0.533509377635852	0.282541456629351	0.369434134133033	0.106256586856144	0.232369050421838	1.18550723247562	0.354251968414316	0.17672140437974
"../evaluations/ASE+"	"diartk_opensmile"	174.78	0.559038112372789	0.420467830184119	0.479951232324363	0.0703159066440164	0.187131437965839	1.16132467984146	0.275022633551661	0.16371559905326
"../evaluations/ASE+"	"diartk_opensmile"	86.26	0.497784542900793	0.372563869735906	0.426166194836853	0.155292722903684	0.234250636396052	1.37065704335776	0.354642405616942	0.179782988998304
"../evaluations/ASE+"	"diartk_opensmile"	115.73	0.265104627324148	0.253570313653006	0.259209220228777	0.08297095357452	0.0583533515836156	2.45237120299869	0.320974151598517	0.117668598128679
"../evaluations/ASE+"	"diartk_opensmile"	252.21	0.561437071179657	0.263909884395576	0.359046075228197	0.0353611111747493	0.104476050812854	1.19139886366392	0.173468498546545	0.0948764469179444
"../evaluations/ASE+"	"diartk_opensmile"	1394.07	0.824474779237452	0.276386356983422	0.413991507485519	0.0431610031709417	0.15273741678108	0.505145744116087	0.129165510144449	0.105465985491363
"../evaluations/ASE+"	"diartk_opensmile"	70.35	0.384454008454928	0.30757226146505	0.341742485652919	0.160732618548083	0.194517398916128	1.88443209573969	0.559027189282107	0.214725395799486
"../evaluations/ASE+"	"diartk_opensmile"	146.7	0.667954741724232	0.340798283191567	0.451325197757471	0.122313745619391	0.375538551139786	0.863257860011447	0.608601351518313	0.311572193887952
"../evaluations/ASE+"	"diartk_opensmile"	388.35	0.61557312924586	0.319799349097437	0.4209229811922	0.0159168649775679	0.0280165002758067	1.1568342639719	0.064318105744141	0.0397940955511739
"../evaluations/ASE+"	"diartk_opensmile"	223.35	0.545898409658302	0.235276633091093	0.328830627722424	0.0551655715164042	0.163089544945568	1.24088428876145	0.271698147362447	0.133501907525394
"../evaluations/ASE+"	"diartk_opensmile"	107.29	0.355979715069992	0.34703554393929	0.351450733017552	0.0641309740147894	0.0909176103847944	1.74920898766692	0.24254776625376	0.116086793966654
"../evaluations/ASE+"	"diartk_opensmile"	176.23	0.481608495397772	0.388897025881384	0.430315734756469	0.0448226161581545	0.0567011535643059	1.30060075439322	0.103661718400794	0.0650624043178385
"../evaluations/ASE+"	"diartk_opensmile"	217.66	0.515971651310531	0.260935297975051	0.346592900746219	0.0224875747810923	0.0781036205013336	1.18937606920806	0.106657926541	0.0608756841193709
"../evaluations/ASE+"	"diartk_opensmile"	100.82	0.176153242742872	0.279639397769312	0.216148232057342	0.128357197712067	0.050862155449212	3.07829375324529	0.467356829885978	0.153147108831719
"../evaluations/ASE+"	"diartk_opensmile"	424.49	0.728493968696282	0.343546693146987	0.466907091924694	0.0444411449691094	0.133082855025901	0.781261331260136	0.144269169846972	0.101927119659844
"../evaluations/ASE+"	"diartk_opensmile"	169.95	0.561230880991711	0.291887145878378	0.384040835785607	0.069223505757435	0.18447974866612	1.15532484063077	0.262668535441755	0.140231878935268
"../evaluations/ASE+"	"diartk_opensmile"	123.19	0.465140996799669	0.305452979409144	0.36875113926221	0.130350802658348	0.223553661068772	1.53448921542973	0.497699372452304	0.213563470734973
"../evaluations/ASE+"	"diartk_opensmile"	106.48	0.527711806999704	0.264395416105384	0.352287111455617	0.105693632496213	0.26245113385503	1.29254292233934	0.441530347339424	0.20316434635421
