"thisdir"	"tf"	"DER"	"B3Precision"	"B3Recall"	"B3F1"	"TauRefSys"	"TauSysRef"	"CE"	"MI"	"NMI"	"filename"
"../evaluations/ASE+"	"gold"	97.7	0.531988619606405	0.337294605172256	0.412838730327425	0.121327960171324	0.229866575829088	1.17030356435263	0.369455636537302	0.185436029224469	"BER_0485_12_07_09123"
"../evaluations/ASE+"	"gold"	232.04	0.633045002878368	0.327308993242223	0.431510304338069	0.0861532974745598	0.323555642310562	0.948564475537687	0.487782837855431	0.261503163088067	"BER_0713_07_02_21041"
"../evaluations/ASE+"	"gold"	87.2	0.531631869894575	0.337327974968471	0.412756246817143	0.155883644089985	0.285859101923753	1.27389166198078	0.451407786993927	0.211989447444323	"BER_2224_16_11_01293"
"../evaluations/ASE+"	"gold"	106.33	0.269442242722601	0.2891302550967	0.278939277090634	0.100679317971961	0.0645527583507118	2.42100971130571	0.355379605230828	0.132969129965012	"CAS_0643_02_01_25764"
"../evaluations/ASE+"	"gold"	203.29	0.576084662643987	0.379524650717269	0.457589366944317	0.0551038229945195	0.134385712784283	1.16630451971079	0.198562842499679	0.119675987410298	"CAS_2625_32_01_11145"
"../evaluations/ASE+"	"gold"	777.96	0.822951723173326	0.454206282316436	0.585346278380209	0.0397283459128238	0.145385604832499	0.523831925720769	0.110479328539767	0.10172402116032	"CAS_8787_11_01_14005"
"../evaluations/ASE+"	"gold"	85.75	0.395462135399308	0.243270168117614	0.301234616232907	0.112242668747892	0.208922260365983	1.82445601687859	0.619003268143211	0.228227490040906	"ROS_5271_20_01_03600"
"../evaluations/ASE+"	"gold"	101.82	0.7062128322589	0.511103954972743	0.593022581148947	0.211270152965896	0.450224335643461	0.827535273225406	0.652157356592729	0.360714466281419	"ROS_8340_17_01_03600"
"../evaluations/ASE+"	"gold"	304.04	0.6515213482604	0.364026601219534	0.46708006677707	0.0546096793411608	0.118932011089697	1.03015779872461	0.191022591395917	0.116979698703818	"ROS_9559_15_01_03600"
"../evaluations/ASE+"	"gold"	149.77	0.551916566094264	0.368592927245473	0.441999879770653	0.0869886725436525	0.174181023479303	1.24290764877758	0.269674787346307	0.145310341887754	"ROW_0049_23_05_13543"
"../evaluations/ASE+"	"gold"	99.85	0.378591784793985	0.303577322236962	0.336960085304643	0.0666904942353046	0.123283052002238	1.71196103710451	0.276748463640597	0.126688632727588	"ROW_2811_10_01_18780"
"../evaluations/ASE+"	"gold"	91.25	0.557609816730619	0.441972395523323	0.493102305036103	0.132413517210816	0.199118657452881	1.15668664193607	0.252887879343287	0.157248659282991	"ROW_3628_18_03_10108"
"../evaluations/ASE+"	"gold"	164.44	0.568729547359017	0.275632772889582	0.371310984404536	0.0738455080200126	0.178588051813578	1.04147508739807	0.254558908350988	0.13820415443513	"SOD_5223_11_03_34509"
"../evaluations/ASE+"	"gold"	99.62	0.180004104949669	0.292436705055124	0.222841914725122	0.118752318813149	0.0552986589887653	3.08028509271692	0.465365490414349	0.150665926574628	"SOD_8560_10_01_30182"
"../evaluations/ASE+"	"gold"	351.58	0.70507576783704	0.399476859251367	0.510000965752523	0.0375306507406374	0.0769170984674692	0.841126043092306	0.10379376247284	0.07294127956179	"SOD_9733_11_01_36000"
"../evaluations/ASE+"	"gold"	125.78	0.603579011718804	0.327033541330715	0.424216460498981	0.110785848164277	0.265218265126443	1.05943952442537	0.360323301944887	0.186717422883896	"WAR_2337_06_02_03094"
"../evaluations/ASE+"	"gold"	107.46	0.470808132422911	0.355841400460701	0.405330236152795	0.120555404797057	0.231780552044831	1.52473628688516	0.507452300996867	0.223430017286638	"WAR_5959_09_01_00857"
"../evaluations/ASE+"	"gold"	103.62	0.499560072190345	0.294573206732913	0.370610365606039	0.0988574422921761	0.218487976620983	1.36476464409298	0.369308625585777	0.172832107357063	"WAR_9755_03_01_30816"
"../evaluations/ASE+"	"ldc"	82.74	0.454456858154011	0.59818356446078	0.516508044843905	0.172381657023638	0.102284633528627	1.40959691153471	0.130162289355227	0.106015447861326	"BER_0485_12_07_09123"
"../evaluations/ASE+"	"ldc"	207.68	0.478320076083401	0.598079555849976	0.531537637455813	0.0724672394029166	0.038335916335077	1.37365234013154	0.062694973261575	0.0550946885149705	"BER_0713_07_02_21041"
"../evaluations/ASE+"	"ldc"	71.2	0.409010984277728	0.654461818585389	0.503411223815295	0.216475342063757	0.0988937988882759	1.55902986492415	0.166269584050553	0.132469009800654	"BER_2224_16_11_01293"
"../evaluations/ASE+"	"ldc"	109.1	0.265120435574127	0.29617833226653	0.27979013301669	0.0961939446502785	0.0590188734036174	2.47044119060229	0.305948125934252	0.11807111542716	"CAS_0643_02_01_25764"
"../evaluations/ASE+"	"ldc"	203.29	0.575523109307778	0.37880947136386	0.456892301929231	0.054785824409072	0.133239048467093	1.16743378590945	0.197433576301017	0.118870105540966	"CAS_2625_32_01_11145"
"../evaluations/ASE+"	"ldc"	777.96	0.822951723173326	0.454206282316436	0.585346278380209	0.0397283459128238	0.145385604832499	0.523831925720769	0.110479328539767	0.10172402116032	"CAS_8787_11_01_14005"
"../evaluations/ASE+"	"ldc"	72.47	0.264883356416495	0.721383798096771	0.387486414466785	0.0825803748026734	0.0380513002977944	2.33365784123664	0.109801443785156	0.0741600097545495	"ROS_5271_20_01_03600"
"../evaluations/ASE+"	"ldc"	96.74	0.698058169090525	0.522634987302742	0.597741734568496	0.227374913216831	0.434964188661996	0.855205013632182	0.624487616185953	0.35103939151144	"ROS_8340_17_01_03600"
